project_number,project_title,project_starts,project_ends,project_description,project_category,project_sector,project_budget,project_leader,project_inst,project_addr
137780,Noncommutative Geometry (ESF-program),2000,2004,"Recent developments in physics related to quantum groups had an immense impact on Algebra, bringing now deep problems and meaning to noncommutative algebra. The geometric background present in most phenomena transpires in the mathematical formalism. Howev er, this geometry remained ""virtual"" because a suitable geometry connected to the noncommutative algebra was lacking. Developing a geometric counterpart to the noncommutative algebra, often worded in terms of deformations or quantizations of algebras, req uires an abstract foundation allowing the desired generality of its applicability, but should also allow concrete calculations, either in the algebras or in (co)homology groups, reflecting real geometric aspects. The fundamental multidisciplinarity of the mathematics involved is obvious: category theory, algebraic geometry, topology and knot theory, homological methods, Lie theory, representation theory, differential geometry, rings of differential operators, with applications in physics, statistical physics or even Robotics (mobile robots). International and multidisciplinary cooperation is absolutely necessary for the development of this subject. On the European scale a concerted action integrating work-shops, exchange visits, study centers and schools , research in pairs, grants for researchers, intgrating cooperation of top specialists with a training aspect for young researchers in Europe, allow s for interaction at all research levels in many directions.",Ukjent,Annet,300000,Arnfinn Laudal,Ingen,NA
154265,An improved method for comparing the 3-D electronic structure of molecules in rational drug design,2003,2007,"An effective representation of the electronic structure of molecules must be properly based on quantum mechanics. Thus, we have developed the structure representation using quantum topology (StruQT) method where the electronic structure of molecuLes is re presented as critical points on the electron density distribution. StruQT is based on the Atoms in Molecules (MM) theory by Richard Bader. Comparing molecules in this representation means comparing sets of critical points and their properties for the different molecules involved. However, the StruQT method needs automatic routines for finding comparable critical points between molecules. Two approaches are suggested: - The use of inductive logic programming (ILP) which is a non-attribute based method from machine learning. ILP has been used successfully in drug design and is much lesssensitive to the problem of finding comparable molecular features. - The use of scale space trees of the critical points on the electron densities. Scale space analysis from the field of image analysis performs multiple smoothings of the electron densities to create a 4-D space where critical points merge into a hierarchy of simpler structures. These bifurcating critical point trees can be used to find comparable critical points between molecules.  The project has changed direction from creating its own software for finding critical points in scalar fields to using a commercial program and focusing on the modeling aspect of using AIM descriptors in QSAR/QSPR. In particular we are investigating the u se of inductive logic programming (ILP) which is very suitable for representing and comparing graph-like structure without having to perform 3D alignments. We will also investigate other non-alignment method approaches based on nearest neighbour geometrie s in combination with bond critical point (BCP) descriptors.A discretisation of the BCP for use with ILP will also be investigated.",Universiteter,UoH-sektor,1683150,Bjørn Kåre Alsberg,Institutt for kjemi,Trondheim
171125,New Information Theoretic methods for Intelligent Data Analysis,2006,2009,"The goal of the three year IT-IDA postdoctoral project is to develop new machine learning algorithms for intelligent data analysis, such as robust non-linear clustering and classification techniques, based on recently developed concepts in information the ory, Mercer kernel theory and graph spectral theory. 
Intelligent data analysis deals with the automatic detection of linear and non-linear patterns in data, and is an important research topic in machine learning and artificial intelligence. It also plays  an important role in other areas of research, such as e.g. bioinformatics, remote sensing, text categorization, image analysis and web retrieval. 
Mercer kernel methods are considered the current state-of-the-art of machine learning, enabling  classifica tion, clustering, correlation and ranking to be done in a non-linear feature space. In addition, graph spectral methods are also emerging rapidly, and have proved to be very useful, especially in data clustering.
The project will focus on theoretical issu es as well as application potential of a new information theoretic approach to machine learning, which is based on recent information theoretic cost functions and non-parametric estimation of probability density functions. This approach has been shown to be closely linked to kernel methods and graph spectral methods, but is in some sense much more intuitive. It also has the advantage of providing more apparent procedures with respect to the selection of system parameters. All together, this provides us ne w tools for a better mathematical understanding, and for developing better algorithms. It even opens avenues for fusing together the best parts of the above mentioned related research areas, which to date have been considered separate fields. 
The project  will lead to new and powerful information theoretic machine learning algorithms for intelligent data analysis, which will be aimed at operational use in applied areas such as remote sensing and bioinformatics.",Universiteter,UoH-sektor,2493000,Robert Jenssen,Institutt for fysikk og teknologi,Tromsø
174867,Information Access Disruptions - iAD,2007,2015,"Dramatic changes in technology, business models and services are foreseen in information access. As FAST has emerged as the recognized leading provider of search based systems, it is our belief that Norway has a unique opportunity to build a strong science and business platform to play a key role in the future of the information age. 

The SFI will identify and execute on global disruption opportunities enabled by emerging information age services by targeting core research for next generation precision, analytics and scale in information access:
- Fusing access to structured/unstructured data and multimedia content
- Building scalable and fault-tolerant architectures for capturing, cleaning and extracting knowledge
- Define and validate robust principles  and services for next generation distributed infrastructure
- Develop extreme precision solutions for multimedia access
- Identify disruptive informaiton access (enabled) processes that can be used as a cluster foundation for Norwegian IT innovation 

Th e SFI expects to launch a broad range of research based products:
- Apply iAd technology in consumer search services (e.g. Sesam)
- Build services around new communication technologies (e.g. VoIP)
- Build new services through extreme precision, agent base d push and seamless content integration
- Extend search technology to new media sources, e.g. streaming media
- Provide user-driven business intelligence through Adaptive Information Warehouses 
- Apply search to strengthen Business Intelligence analytic capabilities
- Monitor and mine emerging pervasive sensor networks in real-time

iAd will enable:
- Strong Norwegian presence in the global information age transformation
- National computer science center with strong innovation focus
- Foundation for FAS T to become #3 European SW company in 2009
- Foundation for Schibsted to build international presence
- Foundation for Accenture to define and develop next generation solutions",Næringsliv,Næringsliv,76000000,Bjørn Olstad,MICROSOFT DEVELOPMENT CENTER NORWAY AS,Oslo
185280,Developing and completing language resources: The Big Brother show as a modern speech corpus,2007,2008,"The project is designed to last for five months: August-December 2007. The goals for the project are to digitalize videos, time-code existing transcriptions, and transcribe hitherto un-transcribed parts of the hitherto unfinished Big Brother corpus. Furthermore, to make the new and transcribed, time-coded and annotated version into a new and complete corpus of the first  Norwegian Big Brother TV show. Finally, the corpus will be presented in a user-friendly web interface. 

The first series of the Norwegian Big Brother TV show will be a very important supplement to other speech corpora that are being planned and developed. It contains speech situations that are difficult or even impossible to get hold of with ordinary recording situations. The BB corpus will contain speech by people who interact in genuine ways, with a lot of accompanying emotional language. This contrasts sharply with other corpora, which usually contain speech by people in neutral conversations. 

The project will take as its starting point a largely unfinished version of a corpus of the BB show, finish   and which needs further transcription, a task which can be performed within a few autumn months. The existing, unfinished corpus is further described in 2.3.3.1. 
Part of the Big Brother Corpus is already available on the Internet in a web-based search interface, for research and development. However, previous lack of funding means that only half of it is transcribed and digitalized, and part of the transcribed material is not time-coded. With the present project, we plan to finish the transcription, digitalization and time-coding, as well as present it in an advanced search interface for linguistic and sociolinguistic studies, as well as for language-technological purposes. In a futu re project, we will mark sections of the corpus as examples of central emotions (described in 2.1). One trip to Copenhagen will be made, to discuss possible issues related to this at CST.
This application will enable us to make existing material (the un-transcribed material) available with the rest of the corpus. Transcribing it means building up new resources for researchers. A main project application to the Norwegian Research Council, to be sent next year, will have a better basis after this project. The project will be useful for the description of the Norwegian and Scandinavian languages, language technology, artificial intelligence and psychology. The result will be made available for a future Norsk Språkbank (Norwegian Language Bank). 
",Universiteter,UoH-sektor,470000,Janne M. Bondi Johannessen,Institutt for lingvistiske og nordiske studier,Oslo
189530,A feasibility study of a system for source data classification with validation and improvements of concept associations in CoreMine Medical,2008,2008,"The aim of this pre-project is to perform a feasibility study of a system for source data classification, and validation and improvements of terms associations, e.g. between a specific disease, TCM, Western medicine, genes and proteins. The system planned  to be developed in the main project shall be integrated with COREMINE Medical community and search engine in order to provide increased data quality both in terms associations and document hits linked to each term, e.g. a specific disease. In addition, t he aim is to prepare a description of a main project starting in 2009.

The pre-project will be performed by PubGene in collaboration with the Laboratory of Complex Systems and Intelligence Science (IACAS) in China and (sfi)²-Statistics for Innovation, Ce nter for Research-based Innovation at Norsk Regnesentral (SFI-NR).

IACAS in Beijing, China is well-known by their excellence in artificial intelligence and data mining techniques. Particularly, they have long-time experience in web-document knowledge min ing focused in the medical field. IACAS contributes with statistical methods research.

SFI-NR is one of the 14 Norwegian Centers for Research-based Innovation, with the aim to enhance the capability of the Norwegian economy to innovate by focusing on lon g-term research, forming alliances between research-intensive enterprises and prominent research groups. SFI-NR contributes within the fields of bioinformatics and statistical modeling and pattern recognition applied

PubGene AS in Oslo, Norway is a pione er in biomedical text mining technology, and has become a leading provider of biological information mined from large literature repositories using advanced statistical text mining algorithms and specialized Natural Language Processing (NLP). PubGene cont ributes with algoritms knowledge and prototyping programming with the aim of achieving av specification and plan for implementation of a classification and validation system in CoreMine Medical search engine",Næringsliv,Næringsliv,350000,Fang Liu,PUBGENE AS,Oslo
191804,"MULTI-TEMPORAL SAR IMAGE ANALYSIS
Robust surface change detection and time series analysis of SAR and POLSAR images",2009,2012,"This project intend to develop advanced signal processing and information retrieval approaches for temporal analysis of SAR and POLSAR data, which can result in robust change detection and trend analysis algorithms. Within this research area, we will  focus on two important aspects; namely multi-class surface cover classication, and the detection and measurement of temporal change. The application areas will be related to surveillance of dynamic trends of northern land and ice (also snow covered) sur faces. The research is divided into three work packages; WP1: Data acquisition and pre-processing. WP2: Statistical modeling. WP3: Feature extraction and machine learning. In WP1 all relevant ground truth and existing SAR data will be collected, prepro cessed and organized into time series. Plans for further satellite and ground truth 
data acquisition will be made and carried out. In WP2 physical and statistical modeling of SAR/POLSAR data will be further developed. The idea is to extract texture feat ures, which together with features derrived from target decompsition methods, will enhance the classi?cation capabilities, and enable improved change detection and trend analysis. In WP3 analysis strategies and algorithms rooted in information theoretic and statistical learning theory will be developed and adapted to multidimensional SAR data. The team comprises national and international experts on processing and analysis of multi-temporal, multidimensional 
SAR remote sensing data, experts in machin e learning and pattern recognotion. in addition to experts from the application areas. The latter scientists have signifcant experience from field work. The overall project adminstration will be conducted by the University of Tromsø.",Universiteter,UoH-sektor,2833000,Torbjørn Eltoft,Institutt for fysikk og teknologi,Tromsø
193265,Next Generation Robotics for Norwegian Industry,2009,2015,"The proposed project will develop fundamentals, competence and leading-edge technologies within robotics to enable the introduction of advanced robotic solutions in specific Norwegian production processes. In particular, the project will target production  tasks that today are manually operated, and where robotic solutions are believed to give substantial economic effect and yield a considerable reduction of production costs. As expected, automation of these tasks will eliminate the need for repetitive man ual work improving safety of personnel as well as quality of products and services. It is a key step to increase the international competitiveness of the industrial partners. The project will start out from a set of challenging cases identified by the ind ustrial partners that involve contact/assembly manipulation in uncertain and unstructured environments. By attacking several cases in parallel the project will build the necessary competence and develop generic methods that are relevant for a wide spectru m of similar applications. 
These tasks are expected to be performed in demanding and uncertain environments, in presence of several another active and moving objects/obstacles in a working area and under the requirement of real time interaction. Such ope rations inherently possess many challenges for developing a system capable to substitute a human.  Various innovative contributions in subjects of motion planning, feedback control, signal processing, instrumentation, sensor fusion, robot perception and l earning as well as system integration are to meet in one place. The project addresses the collective technology and competence gaps faced by the industrial partners in these areas. 
The project will develop new approaches, methods and algorithms for solvi ng the problems and lay down new principles for enabling technologies for automation and robotics-based solutions requested by the Norwegian industry.",Teknisk-industrielle institutter,Instituttsektor,28458894,Svein Peder Berge,SINTEF AVD STRINDVEGEN 4 TRONDHEIM,Trondheim
203461,The Certus Centre,2011,2019,"In spite of large investments in verification and validation (V&V) activities, we frequently read about serious software failures in the press. A 2010 example is that Toyota had to recall about 130,000 of its Prius hybrid vehicles and 10,000 Lexus cars in  the U.S. because the braking system software did not function correctly. 

In response to the continually increasing demand for dependable systems and ways to bring software V&V costs under control, we intend to create the leading research and innovation  centre on software V&V in Europe. In this centre, hosted by Simula Research Laboratory, research-intensive enterprises and world-leading research groups will join forces and develop new, industry-strength technology for V&V. Building a centre where the software industry collaboratively develops and exchanges state-of-the-art knowledge and technology within V&V is to the shared benefit of the Norwegian software-intensive industry and society since: (1) most organizations cannot afford to build comprehensive V&V competence on their own, (2) the centre's partners include major players in the public and private sectors who are already on a good level within software V&V.

In the Certus Centre, we will aim at innovations related to both technical and managerial aspects of software V&V. On the technical side, we will focus on V&V analysis activities, such as requirements quality assurance, and software testing. On the managerial side, we will focus on planning and trade-off analyses of V&V activities, such as  the trade-offs between software dependability, software cost and project completion time. The research will focus on fundamental and complex challenges that are important for society at large. Main research challenges include the development of scalable V&V technology and project management based on evidence about the relationship between V&V effort and software dependability.",Øvrige forskningsinstitutter,Instituttsektor,78399933,Arnaud Gotlieb,SIMULA RESEARCH LABORATORY AS,Bærum
205563,Autonomous Vehicle-Manipulator Systems Intelligent Operation of Remotely Located Facilities,2011,2014,"The project aims at developing solutions for autonomous operation of distant fields using robotic manipulators mounted on a moving vehicle. More specifically, the project will study the potential of vehicle-manipulator systems when it comes to intelligent  operation of remotely located fields that are not directly operated by humans. This may include subsea installations, operation in the arctic or antarctic, or operation in outer space. 

Firstly, modeling and control of vehicle-manipulator systems will b e addressed. This is a challenging topic due to the free-moving base and the formalism used for standard fixed-base manipulators cannot be applied directly. As a result a new set of control and motion planning algorithms that are designed especially for v ehicle-manipulator systems need to be developed. 

Secondly, the project aims at developing solutions for intelligent and autonomous operation of these fields when a human operator is not directly involved in the control. Using approaches from machine lea rning and artificial intelligence the project aims at developing new algorithms that are especially suited for vehicle-manipulator systems. These systems are special in the sense that they do not only allow for observation and monitoring of the process, b ut also actively intervening with the process. This requires a new set of algorithms that combine the observation/monitoring and the operation of the platform, including physically intervening with the process.",Universiteter,UoH-sektor,3449000,Pål Johan From,Institutt for matematiske realfag og teknologi,Ås
